ID	Bank or Institution	City	Branch	Swift Code
1	BANCO ANGOLANO DE INVESTIMENTOS, SA	LUANDA		BAIPAOLU
2	BANCO ANGOLANO NEGOCIOS E COMERCIO	LUANDA		ANCEAOLU
3	BANCO BIC, S.A.	LUANDA		BCCBAOLU
4	BANCO CAIXA GERAL DE ANGOLA	LUANDA		BCGAAOLU
5	BANCO COMERCIAL ANGOLANO	LUANDA		COMLAOLU
6	BANCO COMERCIAL DO HUAMBO	HUAMBO		BCHUAOLU
7	BANCO DE DESENVOLVIMENTO DE ANGOLA	LUANDA		BDAAAOLU
8	BANCO DE FOMENTO ANGOLA, S.A.	LUANDA		BFMXAOLU
9	BANCO DE INVESTIMENTO RURAL, S.A.	MALANJE		BIRVAOLU
10	BANCO DE NEGOCIOS INTERNACIONAL	LUANDA		BNICAOLU052
11	BANCO DE NEGOCIOS INTERNACIONAL	LUANDA		BNICAOLU
12	BANCO ECONOMICO, S.A.	LUANDA		BESCAOLU
13	BANCO KWANZA INVEST SA	LUANDA		BKIAAOLU
14	BANCO MAIS, S.A.	LUANDA		PUADAOLU
15	BANCO MILLENNIUM ATLANTICO, S.A.	LUANDA		PRTLAOLU
16	BANCO NACIONAL DE ANGOLA	LUANDA		BNANAOLD
17	BANCO NACIONAL DE ANGOLA	LUANDA		BNANAOLU
18	BANCO NACIONAL DE ANGOLA	LUANDA	(T2S WAVE 1)	BNANAOLU975
19	BANCO POSTAL, S.A.	LUANDA		POTAAOLU
20	BANCO PRESTIGIO, SA.	LUANDA		PRTSAOLU
21	BANCO REGIONAL DO KEVE, SARL	LUANDA		BRDKAOLU
22	BANCO SOL SARL	LUANDA		SOLOAOLU
23	BANCO VALOR BANK	LUANDA		BVBXAOLU
24	BANCO VTB AFRICA, S.A.	LUANDA		VTBLAOLU
25	BANCO YETU, S.A.	LUANDA		YETUAOLU
26	BANK OF CHINA LIMITED LUANDA BRANCH	LUANDA		BKCHAOLU
27	BCI - BANCO DE COMERCIO E INDUSTRIA	LUANDA		BCIDAOLU
28	BCS - BANCO DE CREDITO DO SUL, S.A.	LUANDA		CDTSAOLU
29	BMF-BANCO BAI MICROFINANCAS, SARL	LUANDA		NOSAAOLU
30	BOLSA DE DIVIDA E VALORES DE ANGOLA BODIVA SOCIEDADE GESTORA DE MERCADOS REGULAMENTADOS SA	LUANDA		BDVAAOLU
31	BPC-BANCO DE POUPANCA E CREDITO	LUANDA		BPCLAOLU
32	FINIBANCO ANGOLA S.A	LUANDA		FBCOAOLU
33	STANDARD BANK DE ANGOLA S.A.	LUANDA		SBICAOLU
34	STANDARD CHARTERED BANK ANGOLA SA	LUANDA		SCBLAOLU
